gauge_id,glc_cl_smj,clz_cl_smj,cls_cl_smj,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,ari_ix_sav,cly_pc_sav,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,crp_pc_sse,dor_pc_pva,ele_mt_sav,ero_kh_sav,for_pc_sse,gla_pc_sse,glc_pc_s01,glc_pc_s02,glc_pc_s03,glc_pc_s04,glc_pc_s05,glc_pc_s06,glc_pc_s07,glc_pc_s08,glc_pc_s09,glc_pc_s10,glc_pc_s11,glc_pc_s12,glc_pc_s13,glc_pc_s14,glc_pc_s15,glc_pc_s16,glc_pc_s17,glc_pc_s18,glc_pc_s19,glc_pc_s20,glc_pc_s21,glc_pc_s22,gwt_cm_sav,hft_ix_s09,hft_ix_s93,inu_pc_ult,ire_pc_sse,kar_pc_sse,lka_pc_use,lkv_mc_usu,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,prm_pc_sse,pst_pc_sse,rev_mc_usu,sgr_dk_sav,slp_dg_sav,slt_pc_sav,snd_pc_sav,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,soc_th_sav,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,swc_pc_s09,swc_pc_s10,swc_pc_s11,swc_pc_s12,swc_pc_syr,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,urb_pc_sse,wet_pc_s01,wet_pc_s02,wet_pc_s03,wet_pc_s04,wet_pc_s05,wet_pc_s06,wet_pc_s07,wet_pc_s08,wet_pc_s09,ws_area
02310947,16,13,101,53.52502239203229,61.69610053338794,88.3739626558758,90.86788569086696,93.0196796560083,105.75441673355706,126.54184923316633,132.76012762674245,118.19495482433499,91.31030125355868,61.405257986150296,51.32032449603135,0.8221123958285625,11.495813969234542,-0.13023571140783233,-0.03743154003741623,-0.29225732762069745,-0.7175144202230679,-0.4379797065104843,0.05299161344021432,0.052379506347026455,0.15186507038749023,0.09341744556803225,-0.4925717513943551,-0.3217481229611773,-0.2320163273127689,11.811878857293442,0.37580559330158836,41.27470091327455,969.8722330270526,21.452646300682552,0.0,0.0,0.0,0.0,21.452646300682552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.933834784323102,0.7423990808059305,0.0,69.41698799808427,0.0,0.0,0.0,0.0,0.0,0.588274657465377,22.958659826547528,12.630551281561658,13.207454873130237,96.07686512377794,4.4067224171366215,99.99999999999997,1.7942618688316991,17.250357454737195,76.10149678023839,85.57027942462213,125.04197869435914,152.99251390876654,178.39378143114212,173.86020999365135,176.6475070401295,164.95651115035216,137.9609524752562,114.97640976231435,84.97724934901608,73.2740686906531,66.45706509872868,82.29235324595038,88.83165539021222,43.31556622929683,100.20505561944198,183.6107844897342,186.586198907586,194.44400157890863,152.21396344062396,58.28363690574173,57.49253675763553,56.424116568591664,0.0,24.16033104655041,0.1824777815243933,8.232796163728228,0.5207992138102471,24.46079336397555,64.04815539945491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.976846740548055,70.43326677813509,71.92136301668901,70.92427115818235,61.617595289529945,52.270724384680086,58.11248020563462,69.85883721176508,78.95257930664522,85.07750620897492,80.80667269564363,72.79705958641297,70.22173585728628,70.20833144136292,15.26118520704353,16.13175790437159,19.146837988957465,21.74109505555083,24.67470472279492,26.866929119298828,27.538096101850222,27.59872566252003,26.686131254063543,23.353875641863635,19.356170309066492,16.32859727458537,3.718629549304713,0.9556777213174508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785025753242509,583.7149267035279
02312200,16,13,101,54.08739958881954,63.652469572616496,93.3575868145849,96.98986944149524,98.83487595283373,108.29928249250375,127.30269451269862,132.62691616102188,118.23976125340754,91.4628108531365,60.68122065502291,50.82924630828789,0.8356225840386992,14.054687095590488,-0.02755018751915457,0.030385751962990808,-0.23622436229424607,-0.6599256469380174,-0.4493400459034351,0.025412272407881898,0.0360636831190278,0.13585478385861424,0.09126025359694426,-0.5212296366634673,-0.3335507115407627,-0.16325214425194035,11.572544473014485,0.0,33.54067133051616,1016.0216071562171,45.53118975361213,0.0,0.0,0.0,0.0,45.53118975361213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.982856835035679,0.19964092486063764,0.0,48.266088112413705,0.0,0.0,0.0,0.0,0.0,0.06751928917637866,22.644063050797403,11.460392575302446,10.965190324455907,75.05640559370781,1.9763261191191173,100.0,0.8564458754570776,10.81200793641996,75.59606306697698,85.58216473027632,126.41679550965074,154.41679550965077,180.7172589048433,175.62588327306366,177.71880650345904,165.86395411341792,139.3410936960951,116.16022999776463,85.74163806861691,72.89033035894275,73.4594987597544,88.45256419109707,96.69553023585385,52.29614743797756,99.42308855418194,180.39354028242235,184.74947443985536,192.29513754241714,153.29959924689598,55.78702174109235,57.06225686233131,61.32059985390838,0.0,20.361437256579798,0.0,10.131386180878756,0.5870194294462249,26.45507263282648,59.238671875262696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93986254377816,71.4155425741605,74.11899257943962,73.8915710610779,64.87820523113405,55.18841431717584,59.503366566008395,70.07279017456219,78.66164899019415,84.66938983436461,79.81836581056604,71.28409217365166,69.91334047118515,71.10037123754732,14.768720215336595,15.718574292655353,18.73969437814793,21.372292907225805,24.417893834585747,26.69990637365256,27.383054381671535,27.449501930342553,26.4783414723865,22.93340759006577,18.93337922147821,15.828880975925461,1.2738611672170794,0.9004605196256049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.4258016550344
02314500,4,14,90,51.02558149745967,66.73895168826131,105.65914765488424,120.03684517405394,120.84373927825946,118.01846259204065,126.44657896358736,124.74910705784508,101.53671668661052,75.711691541144,50.881524389385355,44.0741066502703,0.8670380586575169,14.692696330052863,0.40406294265822523,0.2868003840415764,-0.019907166433763016,-0.46696879329200075,-0.47161676251604284,-0.22169208589574246,-0.11421246596655679,0.0187290699099091,-0.17659075018931433,-0.4391097688791028,-0.1424241532920508,0.29425887411163276,0.7558835380308373,0.0,45.252805616041684,184.9339513235164,99.39811266133363,0.0,0.0,0.352765665232815,0.0,99.0453469961008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24298911619257815,0.004381736420642605,0.0,0.17241158644955867,0.0,0.0,0.0,0.0,0.0,0.1821048996035967,14.112716842031656,3.8287988220880735,3.517434693264479,48.13339135322093,0.11776966537698114,99.99999999999999,0.39842554288305865,8.69667294955407,62.420435609844695,74.16999864161855,116.02437431075369,148.97766059474964,179.7385503694677,184.14626179591014,188.15878816979972,171.18074918617555,137.25454155160878,109.55111842303386,76.39084116571539,61.355969319308294,104.91846123195657,103.96358988119799,113.6391693143447,79.42640063820939,94.98018525151558,143.1272277736233,166.70584268372755,174.5834315349922,113.06789058952323,61.46481947548751,65.3580802595042,87.2298203602226,0.0,0.26169426560435205,0.0,5.473605860315649,0.25056688378032854,23.181705534374284,62.15530708636192,3.323098581525683,1.2106955689630303,0.35873608630597686,0.051671358268825324,0.0,3.9969278941982336e-05,0.0,0.022709887700987634,0.038708806539353734,0.0006962212309126571,0.6764064354773831,2.7790134959875754,104.13606592841951,81.41748363261044,89.89431593845755,91.33512223050307,82.48954905765932,69.09250746127263,63.59565837070266,66.1585948869703,71.59643546804598,74.05086726481018,69.6636899810924,66.8805379938457,71.6029534059438,74.88722559365512,10.498653240128416,12.141927572285407,15.66097278041057,19.152719563535342,22.80557406591436,25.90882952057429,27.236605750908588,26.977822777363052,25.018950700235813,20.019482189276616,15.437552532673056,11.641773872864098,0.09331697069270246,0.0001397431106521839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04060980081713627,2817.4144289990522
02315500,4,14,90,51.55704541538262,67.05017960851681,106.03256867427133,120.06970975081708,121.56906187560172,119.15153858771001,127.44872532769186,126.30001479969683,103.3621804278959,76.90444257949137,51.440695744557324,44.57428202105946,0.8717747506004233,15.203699359655445,0.3906712080279928,0.28803694344733916,-0.024906533213791392,-0.4502139036961128,-0.46044637862329757,-0.19850231771893231,-0.10232662988143079,0.026730962853346894,-0.16005607587171955,-0.4618565453831458,-0.16371664099422173,0.28888999077014804,1.3662512573323176,0.0,45.29983178227792,159.5570240271532,99.20526565688911,0.0,0.0,0.27522729484725694,0.0,98.93841575296037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579269577023387,0.03286405658378696,0.008377390918505902,0.3483613657190956,0.0,0.0,0.0,0.0,0.0,0.1329389566807259,16.715827840626762,4.406759675972096,4.232431388660096,30.953407972453082,0.27251261313667996,99.99999999999999,0.27945806124349637,9.726413878202393,63.447312419255965,74.8885141435346,116.91649185131996,149.16868564813086,179.87958150692805,183.39894448221068,186.84826227518587,171.26437007513007,137.81978790895184,110.43321619225532,77.16788682374876,62.210715783687604,104.19451934742473,105.27238206077796,113.88368155285995,81.94455354054334,97.10237426515631,147.01497112919324,167.731036484271,176.09769804362864,115.91633421959993,59.34552751161766,64.40777696678889,87.77719279286485,0.0,0.34561297103458816,0.0,6.089140608583399,0.19826556465268305,24.97396826559968,59.87538888749339,3.8102187972458172,1.0904479342518114,0.4313291579729978,0.08389778143371888,0.020518576406000796,1.953286623618132e-05,0.0,0.0533842618387757,0.018916877169411293,0.039787113254994205,0.4687175196819894,2.897081918598814,81.13874853954546,81.00329786263585,89.40758647556629,91.03872585555496,82.33635998355707,69.40730056007406,64.40245755092519,67.22215939757925,72.5654463110748,74.95376605086152,70.30092308704143,66.87382726823562,71.42078254188456,75.13969638841168,10.67127024751042,12.283022991871103,15.7793360633529,19.26618837012378,22.886235873910056,25.93934524627586,27.190222630559884,26.96081718861215,25.092292324359256,20.152343971508216,15.549014500978164,11.794940523501227,0.09289932023086211,0.07711638993131377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529499491891714,5934.739336244111
02324400,4,14,90,56.05709455594986,71.22145606736397,111.75572840226894,124.70878161368836,125.52980204500483,120.78510740068836,133.6343575974598,136.96581733750187,115.55196695445875,86.49452959322588,57.05798054653308,49.268231453303066,0.9205503081364131,8.770636963524444,0.3969791925837736,0.3069846244367756,-0.0035071948985309865,-0.4230153755632242,-0.47776651592968955,-0.15999456814699797,0.061917436947659985,0.10585816242778325,-0.06939241123216648,-0.5007784634400838,-0.14502183881023353,0.31953053211419397,0.9395891233393081,0.0,31.40733921628767,207.75807381439353,96.32307430767472,0.0,0.0,0.5442452809522917,0.0,95.77882902672242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2281219233620035,0.0,0.0,1.4085913926085407,0.0,0.0,0.0,0.0,0.0,0.08420943204355646,9.041613533437296,5.560414499446544,5.576409998256505,3.929199364129778,0.38658193480831926,99.99999999999999,0.025424796245881932,5.005929976852297,65.25513395304202,76.25513395304202,118.04416845833033,149.0439970556888,180.0295504010609,180.99982859735846,181.77424504537737,168.98538194273058,140.81912809164942,115.04488304627203,80.83374614891883,65.08888010196085,108.69774785573584,109.96391556673035,117.64910910750538,85.69622729872749,94.22128466472246,152.00108637060038,194.53328833981323,189.76689796225048,130.32916173272793,57.75572840226893,68.74056715969932,95.84406531892962,0.0,3.4924898334720416,0.0,5.841294948503636,0.18195177048085232,22.160410624278146,69.27991790690909,4.369320830314575,1.522060825227131,0.0,0.0,0.0,0.00017140264150723977,0.0,0.0,0.0,0.0,0.0,3.071122620043001,64.93347061565669,85.19173426366153,93.7577921445775,94.9219822533501,85.71101675863841,71.69846244367756,65.99776485504992,72.01292609761953,79.87917238049107,82.28356409851418,76.10197760222191,70.84684364917987,75.80267519084954,79.62126009719877,11.204488304627201,12.700017140264148,16.28653602922883,19.523997271047243,23.299999999999994,26.295583154166962,27.222541214933955,27.118141509365074,25.504471164363054,20.62553053556835,16.108905150460238,12.508959468990259,0.26595360954840364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.94825198219803
